,Major Program Name,Asian,Native Hawaiian/Other Pacific Islander,White,African American,Hispanics,American Indian/Alaska Native
0,Aerospace Engineering,36.0,1.0,144.0,7.0,45.0,3.0
1,Bioinformatics,1.0,0.0,3.0,0.0,0.0,0.0
2,Biosystems Engineering,3.0,0.0,42.0,2.0,0.0,0.0
3,Chemical Engineering,9.0,0.0,144.0,8.0,11.0,1.0
4,Civil Engineering,17.0,1.0,134.0,44.0,1391.0,5.0
5,Computer Science,1225.0,19.0,1535.0,407.0,1790.0,21.0
6,Computer Science + X,1214.0,6.0,759.0,131.0,1589.0,10.0
7,Cybersecurity,2.0,0.0,8.0,5.0,9.0,0.0
8,Electrcal & Computer Engineering,1.0,0.0,8.0,2.0,76.0,0.0
9,Electrical Engineering,28.0,0.0,140.0,29.0,20.0,3.0
10,Engineering Technology,4.0,0.0,51.0,3.0,17.0,0.0
11,Game Design,3.0,0.0,41.0,5.0,7.0,0.0
12,General Engineering,3.0,0.0,92.0,2.0,5.0,0.0
13,General Engineering ,2.0,0.0,42.0,0.0,4.0,0.0
14,Information Science,165.0,1.0,234.0,94.0,71.0,1.0
15,Information Science ,0.0,0.0,0.0,0.0,0.0,0.0
16,Management Information Systems,8.0,0.0,21.0,16.0,1.0,0.0
17,Materials Science and Engineering,1.0,0.0,5.0,0.0,0.0,0.0
18,Mechanical Engineering,50.0,3.0,614.0,60.0,81.0,5.0
19,Software Engineering,0.0,0.0,8.0,0.0,2.0,0.0
20,Systems Engineering,0.0,0.0,13.0,6.0,3.0,0.0
