key,value,date
Asian,64,1/1/03
Asian,49,1/1/04
Asian,53,1/1/05
Asian,63,1/1/06
Asian,70,1/1/07
Asian,154,1/1/08
Asian,195,1/1/09
Asian,240,1/1/10
Asian,322,1/1/11
Asian,405,1/1/12
Asian,506,1/1/13
Asian,620,1/1/14
Asian,599,1/1/15
Asian,344,1/1/16
Hawaiian,0,1/1/03
Hawaiian,0,1/1/04
Hawaiian,0,1/1/05
Hawaiian,0,1/1/06
Hawaiian,0,1/1/07
Hawaiian,3,1/1/08
Hawaiian,0,1/1/09
Hawaiian,8,1/1/10
Hawaiian,5,1/1/11
Hawaiian,8,1/1/12
Hawaiian,4,1/1/13
Hawaiian,8,1/1/14
Hawaiian,3,1/1/15
Hawaiian,1,1/1/16
White,54,1/1/03
White,65,1/1/04
White,82,1/1/05
White,100,1/1/06
White,105,1/1/07
White,238,1/1/08
White,384,1/1/09
White,523,1/1/10
White,653,1/1/11
White,681,1/1/12
White,770,1/1/13
White,742,1/1/14
White,612,1/1/15
White,259,1/1/16
Black,14,1/1/03
Black,32,1/1/04
Black,26,1/1/05
Black,56,1/1/06
Black,54,1/1/07
Black,55,1/1/08
Black,88,1/1/09
Black,103,1/1/10
Black,149,1/1/11
Black,137,1/1/12
Black,127,1/1/13
Black,155,1/1/14
Black,116,1/1/15
Black,57,1/1/16
Hispanics,195,1/1/03
Hispanics,170,1/1/04
Hispanics,198,1/1/05
Hispanics,245,1/1/06
Hispanics,237,1/1/07
Hispanics,245,1/1/08
Hispanics,342,1/1/09
Hispanics,414,1/1/10
Hispanics,442,1/1/11
Hispanics,546,1/1/12
Hispanics,624,1/1/13
Hispanics,696,1/1/14
Hispanics,650,1/1/15
Hispanics,495,1/1/16
Indian,1,1/1/03
Indian,3,1/1/04
Indian,6,1/1/05
Indian,1,1/1/06
Indian,3,1/1/07
Indian,5,1/1/08
Indian,12,1/1/09
Indian,7,1/1/10
Indian,7,1/1/11
Indian,4,1/1/12
Indian,9,1/1/13
Indian,9,1/1/14
Indian,4,1/1/15
Indian,1,1/1/16
