trending_year,trending_month,country,views
2017,11,CA,3708218846
2017,11,DE,1543338000
2017,11,FR,1088559328
2017,11,GB,6782168537
2017,11,US,4197362147
2017,12,CA,8116829409
2017,12,DE,3560663264
2017,12,FR,2234781536
2017,12,GB,13983077700
2017,12,US,8212756424
2018,1,CA,5379690361
2018,1,DE,2722627219
2018,1,FR,1987850216
2018,1,GB,11849014439
2018,1,US,6062176605
2018,2,CA,6061768101
2018,2,DE,3202439185
2018,2,FR,2230760022
2018,2,GB,31438731828
2018,2,US,7789776925
2018,3,CA,6375587015
2018,3,DE,3509875346
2018,3,FR,2274205567
2018,3,GB,54777051365
2018,3,US,11521199848
2018,4,CA,5391431353
2018,4,DE,2912854361
2018,4,FR,2099808047
2018,4,GB,36168053621
2018,4,US,14577908166
2018,5,CA,7516616801
2018,5,DE,4458749076
2018,5,FR,3154193647
2018,5,GB,54769639205
2018,5,US,28852401982
2018,6,CA,3619844016
2018,6,DE,2116645384
2018,6,FR,1523391248
2018,6,GB,18647128751
2018,6,US,14350642225
