publish_year,publish_month,country,views
2006,7,US,258506
2007,3,GB,724958
2007,6,GB,1135341
2007,12,GB,1538802
2008,1,CA,990040
2008,1,GB,463726
2008,2,CA,802735
2008,4,US,200257
2008,6,US,347321
2008,8,GB,2430282
2008,8,US,80022
2008,11,GB,246618
2008,12,GB,387317
2009,2,CA,264577
2009,3,FR,47365
2009,3,GB,526703
2009,3,US,30858
2009,6,US,45096
2009,7,FR,38370
2009,9,US,242066
2009,10,FR,3364
2009,11,GB,329069
2009,12,US,24546
2010,1,CA,1997620
2010,1,US,194693
2010,2,FR,37669
2010,4,GB,531155
2010,4,US,189576
2010,5,GB,1594223
2010,5,US,221425
2010,9,US,106135
2010,10,GB,210448
2011,2,GB,1011450
2011,3,GB,3292962
2011,3,US,206082
2011,5,GB,168479
2011,5,US,621593
2011,8,US,39113
2011,10,FR,37092
2011,11,GB,5128904
2011,11,US,307589
2011,12,GB,15483949
2012,1,US,104148
2012,2,US,174320
2012,3,US,530967
2012,4,DE,11373
2012,6,US,6412
2012,9,US,156094
2012,10,GB,655183
2012,11,FR,55774
2012,11,GB,235081
2012,12,CA,4057
2012,12,US,658243
2013,3,CA,114933
2013,3,GB,238845
2013,3,US,70807
2013,4,FR,109470
2013,4,GB,360206
2013,5,CA,1166437
2013,5,US,744168
2013,6,FR,681401
2013,7,CA,2425211
2013,7,GB,5724234
2013,7,US,138041
2013,8,FR,195374
2013,8,GB,1915421
2013,10,FR,3333
2013,10,GB,255851
2013,10,US,95346
2013,11,CA,280211
2013,11,GB,278781
2013,11,US,12740
2014,1,CA,552665
2014,1,DE,108927
2014,1,FR,329490
2014,1,US,103084
2014,2,FR,19425
2014,3,GB,189049
2014,3,US,86075
2014,4,FR,6829
2014,5,DE,99463
2014,5,FR,17113
2014,6,FR,13070
2014,6,GB,6298660
2014,6,US,782848
2014,8,FR,6383
2014,8,US,864560
2014,9,CA,107331
2014,9,GB,82092
2014,11,CA,7889
2014,11,GB,276976
2014,12,CA,787752
2014,12,US,271369
2015,1,DE,29195
2015,1,FR,67598
2015,3,FR,31414
2015,3,GB,1340197
2015,3,US,94077
2015,4,CA,103148
2015,4,US,14363
2015,5,GB,198144
2015,5,US,386441
2015,6,US,53000
2015,7,CA,111144
2015,7,FR,17966
2015,7,GB,5210645
2015,7,US,13648
2015,9,FR,10772
2015,9,GB,840519
2015,9,US,43268
2015,10,CA,435340
2015,10,FR,245146
2015,10,US,2671536
2015,11,FR,34727
2015,11,GB,1323745
2015,12,CA,24576
2015,12,GB,1743411
2016,3,FR,42278
2016,5,DE,36458
2016,5,FR,53737
2016,5,US,49160
2016,6,FR,154642
2016,6,GB,55535
2016,6,US,84311
2016,7,FR,46773
2016,8,DE,16764
2016,8,FR,1666291
2016,8,GB,482431
2016,9,CA,317040
2016,9,DE,20329
2016,9,FR,2865
2016,9,GB,219028
2016,10,CA,493317
2016,10,FR,39413
2016,10,GB,7324521
2016,10,US,236026
2016,11,CA,362002
2016,11,DE,48688
2016,11,FR,33328
2016,11,US,87284
2016,12,CA,16921
2016,12,FR,21975
2016,12,GB,1151393
2016,12,US,18195
2017,1,FR,4643
2017,1,GB,4569856
2017,2,FR,3857
2017,2,GB,670323
2017,2,US,128662
2017,3,FR,6517
2017,3,GB,95555
2017,3,US,101073
2017,4,CA,766826
2017,4,DE,335428
2017,4,FR,25252
2017,4,GB,2311514
2017,4,US,527844
2017,5,CA,944521
2017,5,GB,88855
2017,5,US,1722
2017,6,FR,101107
2017,6,GB,720798
2017,6,US,578771
2017,7,DE,14095
2017,7,FR,15009
2017,7,GB,2879525
2017,8,CA,1246732
2017,8,DE,1229
2017,8,FR,89728
2017,8,US,418281
2017,9,CA,7413339
2017,9,DE,915822
2017,9,FR,1254236
2017,9,GB,654603
2017,9,US,57047
2017,10,CA,21885578
2017,10,DE,659446
2017,10,FR,27169
2017,10,GB,42674076
2017,10,US,1285374
2017,11,CA,4752574615
2017,11,DE,1962481060
2017,11,FR,1171017152
2017,11,GB,10495743519
2017,11,US,5546696492
2017,12,CA,7354289496
2017,12,DE,3275633261
2017,12,FR,2229131456
2017,12,GB,14071003695
2017,12,US,8106006263
2018,1,CA,5454497352
2018,1,DE,2682120519
2018,1,FR,1975533482
2018,1,GB,25589502145
2018,1,US,5729006473
2018,2,CA,6090387207
2018,2,DE,3251818004
2018,2,FR,2247248767
2018,2,GB,49825739961
2018,2,US,8736627647
2018,3,CA,6485480336
2018,3,DE,3602183414
2018,3,FR,2415807763
2018,3,GB,42925885311
2018,3,US,12883901210
2018,4,CA,5353006807
2018,4,DE,2914488835
2018,4,FR,1993053690
2018,4,GB,48544083663
2018,4,US,19815444911
2018,5,CA,7933907250
2018,5,DE,4619872917
2018,5,FR,3374124146
2018,5,GB,35244468840
2018,5,US,32152260384
2018,6,CA,2702220897
2018,6,DE,1716296608
2018,6,FR,1182035190
2018,6,GB,1592168873
2018,6,US,2579516759
